LRN_TYPE             BITWIDTH             FRACTION             TOP-1                TOP-5               
POWER                8                    -1                   0.0012               0.0056              
POWER                8                    0                    0.6832               0.8892              
POWER                8                    1                    0.6864               0.8932              
POWER                8                    2                    0.6808               0.8844              
POWER                16                   2                    0.6908               0.8936              
POWER                16                   5                    0.6936               0.8936              
POWER                16                   6                    0.6936               0.8936              
POWER                16                   7                    0.6948               0.894               
POWER                24                   2                    0.6908               0.8936              
POWER                24                   12                   0.6944               0.8936              
AREAS                8                    -1                   0.6512               0.872               
AREAS                8                    0                    0.6816               0.8888              
AREAS                8                    1                    0.6908               0.8936              
AREAS                8                    2                    0.6796               0.8828              
AREAS                16                   2                    0.6888               0.8944              
AREAS                16                   5                    0.6944               0.894               
AREAS                16                   6                    0.6952               0.8936              
AREAS                16                   7                    0.6936               0.894               
AREAS                24                   2                    0.6892               0.8948              
AREAS                24                   12                   0.6936               0.894               
LUT_198              8                    -1                   0.65                 0.8732              
LUT_198              8                    0                    0.684                0.8896              
LUT_198              8                    1                    0.6868               0.8932              
LUT_198              8                    2                    0.6792               0.882               
LUT_198              16                   2                    0.6936               0.8936              
LUT_198              16                   5                    0.6948               0.8932              
LUT_198              16                   6                    0.6956               0.8932              
LUT_198              16                   7                    0.696                0.8936              
LUT_198              24                   2                    0.6936               0.8936              
LUT_198              24                   12                   0.696                0.8936              
LUT_400              8                    -1                   0.6512               0.8736              
LUT_400              8                    0                    0.6812               0.8876              
LUT_400              8                    1                    0.6864               0.894               
LUT_400              8                    2                    0.6792               0.8828              
LUT_400              16                   2                    0.6924               0.894               
LUT_400              16                   5                    0.694                0.8932              
LUT_400              16                   6                    0.694                0.8932              
LUT_400              16                   7                    0.6952               0.8936              
LUT_400              24                   2                    0.6916               0.894               
LUT_400              24                   12                   0.6948               0.894               
