LRN_TYPE             BITWIDTH             FRACTION             ACCURACY            
POWER                8                    -1                   0.0116              
POWER                8                    0                    0.5604              
POWER                8                    1                    0.5632              
POWER                8                    2                    0.5572              
POWER                16                   2                    0.5616              
POWER                16                   5                    0.5628              
POWER                16                   6                    0.5644              
POWER                16                   7                    0.564               
POWER                24                   2                    0.5616              
POWER                24                   12                   0.5628              
AREAS                8                    -1                   0.5252              
AREAS                8                    0                    0.5596              
AREAS                8                    1                    0.5652              
AREAS                8                    2                    0.5576              
AREAS                16                   2                    0.5608              
AREAS                16                   5                    0.564               
AREAS                16                   6                    0.5644              
AREAS                16                   7                    0.564               
AREAS                24                   2                    0.5612              
AREAS                24                   12                   0.5632              
LUT_198              8                    -1                   0.5272              
LUT_198              8                    0                    0.5596              
LUT_198              8                    1                    0.5644              
LUT_198              8                    2                    0.558               
LUT_198              16                   2                    0.5604              
LUT_198              16                   5                    0.5604              
LUT_198              16                   6                    0.5632              
LUT_198              16                   7                    0.5624              
LUT_198              24                   2                    0.5608              
LUT_198              24                   12                   0.5628              
LUT_400              8                    -1                   0.526               
LUT_400              8                    0                    0.5616              
LUT_400              8                    1                    0.5644              
LUT_400              8                    2                    0.5584              
LUT_400              16                   2                    0.5624              
LUT_400              16                   5                    0.562               
LUT_400              16                   6                    0.5652              
LUT_400              16                   7                    0.5624              
LUT_400              24                   2                    0.562               
LUT_400              24                   12                   0.5624              
